Tipo de Operação,Preço de Compra,Saldo,Ativo em Carteira,high real,Lucro,Valor Previsto,Valor Real,Diferença
Compra (0),27912.91,0.0,0.037153522711125556,27929.56,,,,
(Periodo atual: 3),,1035.9999733338384,,27902.89,35.9999733338384,27960.848577824927,27884.3,76.54857782492763
Compra (0),27901.94,0.0,0.037130033730050256,27906.78,,,,
(Periodo atual: 3),,1035.5566407311017,,27909.06,35.55664073110165,27939.955939722815,27890.0,49.955939722814946
Compra (0),27878.83,0.0,0.03714491033989237,27907.1,,,,
(Periodo atual: 3),,1036.991920066635,,27944.8,36.991920066634975,27933.11202356521,27917.47,15.642023565207637
Compra (0),27900.41,0.0,0.03716762298714015,27919.01,,,,
(Periodo atual: 3),,1038.0359585963438,,27928.96,38.03595859634379,27944.63278756946,27928.5,16.132787569458742
Compra (0),27915.01,0.0,0.03718558433603799,27935.23,,,,
(Periodo atual: 3),,1037.8578396473742,,27944.84,37.85783964737425,27960.208449764636,27910.22,49.988449764634424
Compra (0),27900.44,0.0,0.03719861907723944,27911.4,,,,
(Periodo atual: 3),,1038.0828912927916,,27911.66,38.0828912927916,27942.13829685567,27906.49,35.648296855670196
Compra (0),27890.01,0.0,0.03722059946528494,27908.13,,,,
(Periodo atual: 3),,1038.5902080635035,,27918.03,38.590208063503496,27933.61593943425,27903.64,29.975939434250904
Compra (0),27890.8,0.0,0.037237734595762885,27903.67,,,,
(Periodo atual: 3),,1042.8427573543395,,28020.32,42.84275735433948,27931.366018239132,28005.0,-73.63398176086775
Compra (0),28006.61,0.0,0.03723559393137332,28013.86,,,,
(Periodo atual: 3),,1040.6339419223305,,27969.5,40.63394192233045,28051.54299540264,27947.29,104.2529954026395
Compra (0),27951.74,0.0,0.0372296659142626,27967.39,,,,
(Periodo atual: 3),,1039.873339847702,,27940.23,39.87333984770203,27997.608856343144,27931.31,66.29885634314269
Compra (0),27947.1,0.0,0.037208631301555516,27955.26,,,,
(Periodo atual: 3),,1040.467561689588,,28013.54,40.46756168958791,27987.239111416995,27963.07,24.169111416995293
Compra (0),27942.12,0.0,0.03723652899957441,27977.28,,,,
